condition,game,winner,half_moves
random_vs_random,1,draw,200
random_vs_random,2,fox,113
random_vs_random,3,hounds,20
random_vs_random,4,hounds,24
random_vs_random,5,fox,161
random_vs_random,6,fox,69
random_vs_random,7,fox,37
random_vs_random,8,fox,37
random_vs_random,9,fox,49
random_vs_random,10,fox,173
random_vs_random,11,fox,85
random_vs_random,12,fox,49
random_vs_random,13,fox,73
random_vs_random,14,draw,200
random_vs_random,15,hounds,30
random_vs_random,16,fox,77
random_vs_random,17,draw,200
random_vs_random,18,draw,200
random_vs_random,19,draw,200
random_vs_random,20,fox,141
random_vs_random,21,fox,69
random_vs_random,22,fox,89
random_vs_random,23,fox,37
random_vs_random,24,fox,105
random_vs_random,25,hounds,22
random_vs_random,26,draw,200
random_vs_random,27,draw,200
random_vs_random,28,fox,73
random_vs_random,29,hounds,20
random_vs_random,30,fox,33
random_vs_random,31,draw,200
random_vs_random,32,fox,25
random_vs_random,33,fox,125
random_vs_random,34,hounds,24
random_vs_random,35,fox,85
random_vs_random,36,draw,200
random_vs_random,37,draw,200
random_vs_random,38,hounds,30
random_vs_random,39,fox,41
random_vs_random,40,hounds,20
random_vs_random,41,hounds,20
random_vs_random,42,fox,69
random_vs_random,43,fox,157
random_vs_random,44,fox,49
random_vs_random,45,fox,89
random_vs_random,46,hounds,26
random_vs_random,47,hounds,20
random_vs_random,48,fox,97
random_vs_random,49,fox,129
random_vs_random,50,fox,29
random_vs_random,51,fox,73
random_vs_random,52,fox,45
random_vs_random,53,fox,117
random_vs_random,54,fox,85
random_vs_random,55,fox,29
random_vs_random,56,hounds,28
random_vs_random,57,fox,153
random_vs_random,58,hounds,26
random_vs_random,59,draw,200
random_vs_random,60,fox,33
random_vs_random,61,fox,149
random_vs_random,62,draw,200
random_vs_random,63,fox,69
random_vs_random,64,hounds,20
random_vs_random,65,draw,200
random_vs_random,66,fox,21
random_vs_random,67,draw,200
random_vs_random,68,hounds,20
random_vs_random,69,fox,33
random_vs_random,70,fox,69
random_vs_random,71,draw,200
random_vs_random,72,draw,200
random_vs_random,73,fox,181
random_vs_random,74,hounds,26
random_vs_random,75,draw,200
random_vs_random,76,fox,165
random_vs_random,77,hounds,28
random_vs_random,78,fox,25
random_vs_random,79,hounds,12
random_vs_random,80,fox,45
random_vs_random,81,fox,25
random_vs_random,82,draw,200
random_vs_random,83,fox,81
random_vs_random,84,hounds,28
random_vs_random,85,fox,69
random_vs_random,86,hounds,22
random_vs_random,87,fox,173
random_vs_random,88,fox,53
random_vs_random,89,fox,161
random_vs_random,90,hounds,30
random_vs_random,91,hounds,28
random_vs_random,92,hounds,16
random_vs_random,93,fox,85
random_vs_random,94,hounds,30
random_vs_random,95,draw,200
random_vs_random,96,draw,200
random_vs_random,97,fox,81
random_vs_random,98,fox,93
random_vs_random,99,fox,117
random_vs_random,100,fox,49
fox_ai_vs_random,1,fox,25
fox_ai_vs_random,2,fox,33
fox_ai_vs_random,3,fox,33
fox_ai_vs_random,4,fox,33
fox_ai_vs_random,5,fox,33
fox_ai_vs_random,6,fox,29
fox_ai_vs_random,7,fox,33
fox_ai_vs_random,8,fox,29
fox_ai_vs_random,9,fox,33
fox_ai_vs_random,10,fox,29
fox_ai_vs_random,11,fox,33
fox_ai_vs_random,12,fox,29
fox_ai_vs_random,13,fox,33
fox_ai_vs_random,14,fox,33
fox_ai_vs_random,15,fox,33
fox_ai_vs_random,16,fox,29
fox_ai_vs_random,17,fox,33
fox_ai_vs_random,18,fox,29
fox_ai_vs_random,19,fox,33
fox_ai_vs_random,20,fox,29
fox_ai_vs_random,21,fox,33
fox_ai_vs_random,22,fox,29
fox_ai_vs_random,23,fox,33
fox_ai_vs_random,24,fox,33
fox_ai_vs_random,25,fox,33
fox_ai_vs_random,26,fox,29
fox_ai_vs_random,27,fox,33
fox_ai_vs_random,28,fox,21
fox_ai_vs_random,29,fox,25
fox_ai_vs_random,30,fox,33
fox_ai_vs_random,31,fox,33
fox_ai_vs_random,32,hounds,12
fox_ai_vs_random,33,fox,29
fox_ai_vs_random,34,hounds,20
fox_ai_vs_random,35,fox,29
fox_ai_vs_random,36,fox,29
fox_ai_vs_random,37,fox,33
fox_ai_vs_random,38,fox,21
fox_ai_vs_random,39,fox,33
fox_ai_vs_random,40,fox,37
fox_ai_vs_random,41,fox,25
fox_ai_vs_random,42,fox,33
fox_ai_vs_random,43,fox,29
fox_ai_vs_random,44,fox,33
fox_ai_vs_random,45,hounds,12
fox_ai_vs_random,46,fox,29
fox_ai_vs_random,47,fox,29
fox_ai_vs_random,48,fox,29
fox_ai_vs_random,49,fox,29
fox_ai_vs_random,50,fox,29
fox_ai_vs_random,51,fox,29
fox_ai_vs_random,52,fox,29
fox_ai_vs_random,53,fox,33
fox_ai_vs_random,54,fox,29
fox_ai_vs_random,55,fox,33
fox_ai_vs_random,56,fox,37
fox_ai_vs_random,57,fox,33
fox_ai_vs_random,58,fox,29
fox_ai_vs_random,59,fox,21
fox_ai_vs_random,60,fox,21
fox_ai_vs_random,61,fox,33
fox_ai_vs_random,62,fox,33
fox_ai_vs_random,63,fox,33
fox_ai_vs_random,64,hounds,16
fox_ai_vs_random,65,hounds,12
fox_ai_vs_random,66,fox,33
fox_ai_vs_random,67,fox,29
fox_ai_vs_random,68,fox,33
fox_ai_vs_random,69,fox,33
fox_ai_vs_random,70,hounds,12
fox_ai_vs_random,71,fox,33
fox_ai_vs_random,72,fox,25
fox_ai_vs_random,73,fox,29
fox_ai_vs_random,74,fox,29
fox_ai_vs_random,75,fox,25
fox_ai_vs_random,76,fox,29
fox_ai_vs_random,77,fox,29
fox_ai_vs_random,78,fox,29
fox_ai_vs_random,79,fox,29
fox_ai_vs_random,80,fox,25
fox_ai_vs_random,81,fox,29
fox_ai_vs_random,82,fox,29
fox_ai_vs_random,83,fox,29
fox_ai_vs_random,84,fox,33
fox_ai_vs_random,85,fox,29
fox_ai_vs_random,86,fox,29
fox_ai_vs_random,87,fox,25
fox_ai_vs_random,88,hounds,24
fox_ai_vs_random,89,fox,33
fox_ai_vs_random,90,fox,33
fox_ai_vs_random,91,fox,25
fox_ai_vs_random,92,fox,25
fox_ai_vs_random,93,fox,29
fox_ai_vs_random,94,hounds,28
fox_ai_vs_random,95,fox,25
fox_ai_vs_random,96,fox,33
fox_ai_vs_random,97,fox,33
fox_ai_vs_random,98,fox,29
fox_ai_vs_random,99,fox,29
fox_ai_vs_random,100,fox,29
random_vs_hounds_ai,1,fox,49
random_vs_hounds_ai,2,hounds,20
random_vs_hounds_ai,3,hounds,8
random_vs_hounds_ai,4,hounds,16
random_vs_hounds_ai,5,hounds,14
random_vs_hounds_ai,6,hounds,18
random_vs_hounds_ai,7,hounds,12
random_vs_hounds_ai,8,hounds,8
random_vs_hounds_ai,9,hounds,12
random_vs_hounds_ai,10,hounds,16
random_vs_hounds_ai,11,hounds,12
random_vs_hounds_ai,12,hounds,8
random_vs_hounds_ai,13,hounds,8
random_vs_hounds_ai,14,hounds,18
random_vs_hounds_ai,15,hounds,12
random_vs_hounds_ai,16,hounds,12
random_vs_hounds_ai,17,fox,49
random_vs_hounds_ai,18,hounds,16
random_vs_hounds_ai,19,hounds,16
random_vs_hounds_ai,20,hounds,8
random_vs_hounds_ai,21,hounds,16
random_vs_hounds_ai,22,hounds,18
random_vs_hounds_ai,23,hounds,8
random_vs_hounds_ai,24,hounds,16
random_vs_hounds_ai,25,hounds,20
random_vs_hounds_ai,26,hounds,16
random_vs_hounds_ai,27,hounds,8
random_vs_hounds_ai,28,hounds,8
random_vs_hounds_ai,29,hounds,16
random_vs_hounds_ai,30,hounds,8
random_vs_hounds_ai,31,hounds,18
random_vs_hounds_ai,32,fox,125
random_vs_hounds_ai,33,hounds,16
random_vs_hounds_ai,34,hounds,16
random_vs_hounds_ai,35,hounds,8
random_vs_hounds_ai,36,hounds,8
random_vs_hounds_ai,37,hounds,18
random_vs_hounds_ai,38,draw,200
random_vs_hounds_ai,39,hounds,8
random_vs_hounds_ai,40,hounds,8
random_vs_hounds_ai,41,hounds,12
random_vs_hounds_ai,42,fox,33
random_vs_hounds_ai,43,hounds,16
random_vs_hounds_ai,44,hounds,16
random_vs_hounds_ai,45,fox,49
random_vs_hounds_ai,46,hounds,16
random_vs_hounds_ai,47,fox,97
random_vs_hounds_ai,48,hounds,12
random_vs_hounds_ai,49,hounds,12
random_vs_hounds_ai,50,hounds,12
random_vs_hounds_ai,51,fox,197
random_vs_hounds_ai,52,hounds,18
random_vs_hounds_ai,53,hounds,16
random_vs_hounds_ai,54,fox,29
random_vs_hounds_ai,55,fox,61
random_vs_hounds_ai,56,hounds,12
random_vs_hounds_ai,57,hounds,8
random_vs_hounds_ai,58,hounds,14
random_vs_hounds_ai,59,hounds,12
random_vs_hounds_ai,60,hounds,28
random_vs_hounds_ai,61,hounds,8
random_vs_hounds_ai,62,fox,49
random_vs_hounds_ai,63,fox,165
random_vs_hounds_ai,64,hounds,8
random_vs_hounds_ai,65,fox,161
random_vs_hounds_ai,66,hounds,16
random_vs_hounds_ai,67,hounds,14
random_vs_hounds_ai,68,hounds,18
random_vs_hounds_ai,69,hounds,8
random_vs_hounds_ai,70,hounds,18
random_vs_hounds_ai,71,draw,200
random_vs_hounds_ai,72,hounds,16
random_vs_hounds_ai,73,hounds,18
random_vs_hounds_ai,74,hounds,18
random_vs_hounds_ai,75,hounds,8
random_vs_hounds_ai,76,hounds,12
random_vs_hounds_ai,77,hounds,18
random_vs_hounds_ai,78,hounds,20
random_vs_hounds_ai,79,hounds,16
random_vs_hounds_ai,80,hounds,18
random_vs_hounds_ai,81,hounds,16
random_vs_hounds_ai,82,fox,21
random_vs_hounds_ai,83,hounds,8
random_vs_hounds_ai,84,hounds,8
random_vs_hounds_ai,85,hounds,12
random_vs_hounds_ai,86,hounds,20
random_vs_hounds_ai,87,hounds,8
random_vs_hounds_ai,88,hounds,12
random_vs_hounds_ai,89,fox,113
random_vs_hounds_ai,90,hounds,12
random_vs_hounds_ai,91,hounds,8
random_vs_hounds_ai,92,hounds,12
random_vs_hounds_ai,93,hounds,16
random_vs_hounds_ai,94,fox,177
random_vs_hounds_ai,95,fox,65
random_vs_hounds_ai,96,hounds,16
random_vs_hounds_ai,97,fox,25
random_vs_hounds_ai,98,hounds,12
random_vs_hounds_ai,99,hounds,12
random_vs_hounds_ai,100,hounds,8
fox_ai_vs_hounds_ai,1,hounds,18
fox_ai_vs_hounds_ai,2,hounds,18
fox_ai_vs_hounds_ai,3,hounds,18
fox_ai_vs_hounds_ai,4,hounds,18
fox_ai_vs_hounds_ai,5,hounds,18
fox_ai_vs_hounds_ai,6,hounds,18
fox_ai_vs_hounds_ai,7,hounds,18
fox_ai_vs_hounds_ai,8,hounds,18
fox_ai_vs_hounds_ai,9,hounds,18
fox_ai_vs_hounds_ai,10,hounds,18
fox_ai_vs_hounds_ai,11,hounds,18
fox_ai_vs_hounds_ai,12,hounds,18
fox_ai_vs_hounds_ai,13,hounds,18
fox_ai_vs_hounds_ai,14,hounds,18
fox_ai_vs_hounds_ai,15,hounds,18
fox_ai_vs_hounds_ai,16,hounds,18
fox_ai_vs_hounds_ai,17,hounds,18
fox_ai_vs_hounds_ai,18,hounds,18
fox_ai_vs_hounds_ai,19,hounds,18
fox_ai_vs_hounds_ai,20,hounds,18
fox_ai_vs_hounds_ai,21,hounds,18
fox_ai_vs_hounds_ai,22,hounds,18
fox_ai_vs_hounds_ai,23,hounds,18
fox_ai_vs_hounds_ai,24,hounds,18
fox_ai_vs_hounds_ai,25,hounds,18
fox_ai_vs_hounds_ai,26,hounds,18
fox_ai_vs_hounds_ai,27,hounds,18
fox_ai_vs_hounds_ai,28,hounds,18
fox_ai_vs_hounds_ai,29,hounds,18
fox_ai_vs_hounds_ai,30,hounds,18
fox_ai_vs_hounds_ai,31,hounds,18
fox_ai_vs_hounds_ai,32,hounds,18
fox_ai_vs_hounds_ai,33,hounds,18
fox_ai_vs_hounds_ai,34,hounds,18
fox_ai_vs_hounds_ai,35,hounds,18
fox_ai_vs_hounds_ai,36,hounds,18
fox_ai_vs_hounds_ai,37,hounds,18
fox_ai_vs_hounds_ai,38,hounds,18
fox_ai_vs_hounds_ai,39,hounds,18
fox_ai_vs_hounds_ai,40,hounds,18
fox_ai_vs_hounds_ai,41,hounds,18
fox_ai_vs_hounds_ai,42,hounds,18
fox_ai_vs_hounds_ai,43,hounds,18
fox_ai_vs_hounds_ai,44,hounds,18
fox_ai_vs_hounds_ai,45,hounds,18
fox_ai_vs_hounds_ai,46,hounds,18
fox_ai_vs_hounds_ai,47,hounds,18
fox_ai_vs_hounds_ai,48,hounds,18
fox_ai_vs_hounds_ai,49,hounds,18
fox_ai_vs_hounds_ai,50,hounds,18
fox_ai_vs_hounds_ai,51,hounds,18
fox_ai_vs_hounds_ai,52,hounds,18
fox_ai_vs_hounds_ai,53,hounds,18
fox_ai_vs_hounds_ai,54,hounds,18
fox_ai_vs_hounds_ai,55,hounds,18
fox_ai_vs_hounds_ai,56,hounds,18
fox_ai_vs_hounds_ai,57,hounds,18
fox_ai_vs_hounds_ai,58,hounds,18
fox_ai_vs_hounds_ai,59,hounds,18
fox_ai_vs_hounds_ai,60,hounds,18
fox_ai_vs_hounds_ai,61,hounds,18
fox_ai_vs_hounds_ai,62,hounds,18
fox_ai_vs_hounds_ai,63,hounds,18
fox_ai_vs_hounds_ai,64,hounds,18
fox_ai_vs_hounds_ai,65,hounds,18
fox_ai_vs_hounds_ai,66,hounds,18
fox_ai_vs_hounds_ai,67,hounds,18
fox_ai_vs_hounds_ai,68,hounds,18
fox_ai_vs_hounds_ai,69,hounds,18
fox_ai_vs_hounds_ai,70,hounds,18
fox_ai_vs_hounds_ai,71,hounds,18
fox_ai_vs_hounds_ai,72,hounds,18
fox_ai_vs_hounds_ai,73,hounds,18
fox_ai_vs_hounds_ai,74,hounds,18
fox_ai_vs_hounds_ai,75,hounds,18
fox_ai_vs_hounds_ai,76,hounds,18
fox_ai_vs_hounds_ai,77,hounds,18
fox_ai_vs_hounds_ai,78,hounds,18
fox_ai_vs_hounds_ai,79,hounds,18
fox_ai_vs_hounds_ai,80,hounds,18
fox_ai_vs_hounds_ai,81,hounds,18
fox_ai_vs_hounds_ai,82,hounds,18
fox_ai_vs_hounds_ai,83,hounds,18
fox_ai_vs_hounds_ai,84,hounds,18
fox_ai_vs_hounds_ai,85,hounds,18
fox_ai_vs_hounds_ai,86,hounds,18
fox_ai_vs_hounds_ai,87,hounds,18
fox_ai_vs_hounds_ai,88,hounds,18
fox_ai_vs_hounds_ai,89,hounds,18
fox_ai_vs_hounds_ai,90,hounds,18
fox_ai_vs_hounds_ai,91,hounds,18
fox_ai_vs_hounds_ai,92,hounds,18
fox_ai_vs_hounds_ai,93,hounds,18
fox_ai_vs_hounds_ai,94,hounds,18
fox_ai_vs_hounds_ai,95,hounds,18
fox_ai_vs_hounds_ai,96,hounds,18
fox_ai_vs_hounds_ai,97,hounds,18
fox_ai_vs_hounds_ai,98,hounds,18
fox_ai_vs_hounds_ai,99,hounds,18
fox_ai_vs_hounds_ai,100,hounds,18
